MethMMD,Kernel,parametre,perturbation,size,mmd,time
MMDl,laplacian,5.0,std*2,100,-0.03953164706774143,0.00041484832763671875
MMDl,laplacian,5.0,unif_law,100,-0.049977973134232086,0.00040149688720703125
MMDq,gaussian,0.25,same,100,-0.003460231649270118,0.003988027572631836
MMDq,gaussian,0.25,mu+1,100,0.1369079820349417,0.0038208961486816406
MMDq,gaussian,0.25,std*2,100,0.031159139812343306,0.004400491714477539
MMDq,gaussian,0.25,unif_law,100,0.00014491187924003945,0.003876924514770508
MMDq,gaussian,0.5,same,100,-0.002572643201633751,0.0037887096405029297
MMDq,gaussian,0.5,mu+1,100,0.17061654943613336,0.003800630569458008
MMDq,gaussian,0.5,std*2,100,0.0431020531494144,0.003869295120239258
MMDq,gaussian,0.5,unif_law,100,-0.005457091336173114,0.003809690475463867
MMDq,gaussian,1.0,same,100,-0.002524526303324892,0.003912210464477539
MMDq,gaussian,1.0,mu+1,100,0.18951407170756962,0.0038492679595947266
MMDq,gaussian,1.0,std*2,100,0.0521624541717326,0.003863096237182617
MMDq,gaussian,1.0,unif_law,100,-0.006562558536231444,0.0038018226623535156
MMDq,gaussian,2.0,same,100,-0.002485734423706809,0.003816843032836914
MMDq,gaussian,2.0,mu+1,100,0.1796853869511894,0.0038242340087890625
MMDq,gaussian,2.0,std*2,100,0.05245754697679761,0.00397181510925293
MMDq,gaussian,2.0,unif_law,100,-0.005238146444073832,0.0037779808044433594
MMDq,gaussian,5.0,same,100,-0.001754233946458461,0.003772735595703125
MMDq,gaussian,5.0,mu+1,100,0.12682908500396617,0.0038001537322998047
MMDq,gaussian,5.0,std*2,100,0.03533569924416935,0.003815174102783203
MMDq,gaussian,5.0,unif_law,100,-0.0030235279347889943,0.0037870407104492188
MMDq,laplacian,0.25,same,100,-0.0017702805484904882,0.1362755298614502
MMDq,laplacian,0.25,mu+1,100,0.09393001357944186,0.00299835205078125
MMDq,laplacian,0.25,std*2,100,0.0230343794923622,0.003010988235473633
MMDq,laplacian,0.25,unif_law,100,-0.001829313335768079,0.0030074119567871094
MMDq,laplacian,0.5,same,100,-0.002715049528534186,0.002995014190673828
MMDq,laplacian,0.5,mu+1,100,0.12712076448764242,0.003002166748046875
MMDq,laplacian,0.5,std*2,100,0.032984327742927144,0.002970457077026367
MMDq,laplacian,0.5,unif_law,100,-0.0022682657235975068,0.003019094467163086
MMDq,laplacian,1.0,same,100,-0.0036859684922144753,0.0031175613403320312
MMDq,laplacian,1.0,mu+1,100,0.13105724891769743,0.003157377243041992
MMDq,laplacian,1.0,std*2,100,0.03309355148237425,0.003146648406982422
MMDq,laplacian,1.0,unif_law,100,-0.0013796755236969993,0.0030989646911621094
MMDq,laplacian,2.0,same,100,-0.0047356030841108065,0.003047466278076172
MMDq,laplacian,2.0,mu+1,100,0.097435325792527,0.003030061721801758
MMDq,laplacian,2.0,std*2,100,0.021376885257809564,0.003030061721801758
MMDq,laplacian,2.0,unif_law,100,0.0015279157214372896,0.003017902374267578
MMDq,laplacian,5.0,same,100,-0.005875189286724258,0.0029942989349365234
MMDq,laplacian,5.0,mu+1,100,0.0442606390643997,0.0029861927032470703
MMDq,laplacian,5.0,std*2,100,0.006558812316264512,0.003000974655151367
MMDq,laplacian,5.0,unif_law,100,0.0038683636072345817,0.003003835678100586
MMDl,gaussian,0.25,same,500,0.04854466700814595,0.0006418228149414062
MMDl,gaussian,0.25,mu+1,500,0.12979885651013034,0.0006377696990966797
MMDl,gaussian,0.25,std*2,500,0.0723117738008944,0.0006399154663085938
MMDl,gaussian,0.25,unif_law,500,0.016404371262144137,0.0006241798400878906
MMDl,gaussian,0.5,same,500,0.055654289854845954,0.0006439685821533203
MMDl,gaussian,0.5,mu+1,500,0.16777630253246223,0.0006418228149414062
MMDl,gaussian,0.5,std*2,500,0.08604025788227483,0.0006792545318603516
MMDl,gaussian,0.5,unif_law,500,0.006065363876168874,0.0007047653198242188
MMDl,gaussian,1.0,same,500,0.05750778231538914,0.0006318092346191406
MMDl,gaussian,1.0,mu+1,500,0.1917532882424164,0.0006451606750488281
MMDl,gaussian,1.0,std*2,500,0.09797803228479154,0.0007011890411376953
MMDl,gaussian,1.0,unif_law,500,-0.0001456067738808997,0.0006635189056396484
MMDl,gaussian,2.0,same,500,0.048977850908326674,0.0007116794586181641
MMDl,gaussian,2.0,mu+1,500,0.1857095827320744,0.0007567405700683594
MMDl,gaussian,2.0,std*2,500,0.09803865023687137,0.0006504058837890625
MMDl,gaussian,2.0,unif_law,500,-0.0016869690245988522,0.0006318092346191406
MMDl,gaussian,5.0,same,500,0.03009997254892062,0.0006299018859863281
MMDl,gaussian,5.0,mu+1,500,0.13576526462375274,0.0008220672607421875
MMDl,gaussian,5.0,std*2,500,0.07533686344704109,0.0006513595581054688
MMDl,gaussian,5.0,unif_law,500,-0.0019673963689725723,0.0006392002105712891
MMDl,laplacian,0.25,same,500,0.02527676855387074,0.0005037784576416016
MMDl,laplacian,0.25,mu+1,500,0.09818845184149723,0.0005564689636230469
MMDl,laplacian,0.25,std*2,500,0.05373720481275598,0.0005245208740234375
MMDl,laplacian,0.25,unif_law,500,0.0029280113814124887,0.0005633831024169922
MMDl,laplacian,0.5,same,500,0.03633438985849159,0.0005025863647460938
MMDl,laplacian,0.5,mu+1,500,0.12987571809026305,0.0005316734313964844
MMDl,laplacian,0.5,std*2,500,0.07224168489387682,0.0005350112915039062
MMDl,laplacian,0.5,unif_law,500,0.006851259127565527,0.0005221366882324219
MMDl,laplacian,1.0,same,500,0.04091359609965201,0.0005292892456054688
MMDl,laplacian,1.0,mu+1,500,0.12981847191672172,0.0006482601165771484
MMDl,laplacian,1.0,std*2,500,0.0744583275133225,0.0005354881286621094
MMDl,laplacian,1.0,unif_law,500,0.014554736754365763,0.0005190372467041016
MMDl,laplacian,2.0,same,500,0.033329784511292586,0.0005161762237548828
MMDl,laplacian,2.0,mu+1,500,0.09260360962178789,0.0005362033843994141
MMDl,laplacian,2.0,std*2,500,0.06023868514410654,0.0005645751953125
MMDl,laplacian,2.0,unif_law,500,0.025903664230319066,0.0005211830139160156
MMDl,laplacian,5.0,same,500,0.015488068473034716,0.0005125999450683594
MMDl,laplacian,5.0,mu+1,500,0.03940550264568429,0.0005280971527099609
MMDl,laplacian,5.0,std*2,500,0.03974993421961278,0.0005323886871337891
MMDl,laplacian,5.0,unif_law,500,0.0360958922773692,0.0005497932434082031
MMDq,gaussian,0.25,same,500,-0.0002898863017295472,0.06661677360534668
MMDq,gaussian,0.25,mu+1,500,0.12983873800420043,0.06697988510131836
MMDq,gaussian,0.25,std*2,500,0.048358681002524384,0.06696057319641113
MMDq,gaussian,0.25,unif_law,500,0.014976292046036677,0.06670618057250977
MMDq,gaussian,0.5,same,500,-4.219411558115116e-05,0.06717038154602051
MMDq,gaussian,0.5,mu+1,500,0.15870782667536676,0.06667065620422363
MMDq,gaussian,0.5,std*2,500,0.05965686671602699,0.06831669807434082
MMDq,gaussian,0.5,unif_law,500,0.00945394352715312,0.06691169738769531
MMDq,gaussian,1.0,same,500,8.276654612227041e-05,0.0666663646697998
MMDq,gaussian,1.0,mu+1,500,0.17450080719818795,0.06752943992614746
MMDq,gaussian,1.0,std*2,500,0.0661180264386495,0.06675100326538086
MMDq,gaussian,1.0,unif_law,500,0.0030289251073891688,0.0669405460357666
MMDq,gaussian,2.0,same,500,-2.8429957089626257e-05,0.06886720657348633
MMDq,gaussian,2.0,mu+1,500,0.16551528610114263,0.06723928451538086
MMDq,gaussian,2.0,std*2,500,0.061660318768635314,0.06710577011108398
MMDq,gaussian,2.0,unif_law,500,-0.00021816649076256134,0.06673526763916016
MMDq,gaussian,5.0,same,500,-0.0001964454376550684,0.06680464744567871
MMDq,gaussian,5.0,mu+1,500,0.11828201385677839,0.06722426414489746
MMDq,gaussian,5.0,std*2,500,0.03840244669196724,0.06664133071899414
MMDq,gaussian,5.0,unif_law,500,-0.0005653135211107774,0.06768274307250977
MMDq,laplacian,0.25,same,500,-0.0001251221854294826,0.20410990715026855
MMDq,laplacian,0.25,mu+1,500,0.08810848336937815,0.042243003845214844
MMDq,laplacian,0.25,std*2,500,0.0280319771376214,0.042168378829956055
MMDq,laplacian,0.25,unif_law,500,0.0019685724733804477,0.04214882850646973
MMDq,laplacian,0.5,same,500,-0.00013290043067049062,0.04188942909240723
MMDq,laplacian,0.5,mu+1,500,0.11909097229576693,0.04180598258972168
MMDq,laplacian,0.5,std*2,500,0.04173114855275606,0.04121899604797363
MMDq,laplacian,0.5,unif_law,500,0.00404467254363472,0.0413818359375
MMDq,laplacian,1.0,same,500,-0.00013543415257422087,0.041448116302490234
MMDq,laplacian,1.0,mu+1,500,0.12353316271722226,0.04134798049926758
MMDq,laplacian,1.0,std*2,500,0.04565522441989589,0.04152202606201172
MMDq,laplacian,1.0,unif_law,500,0.007619708723854868,0.04140353202819824
MMDq,laplacian,2.0,same,500,-0.0002053026213739706,0.041248321533203125
MMDq,laplacian,2.0,mu+1,500,0.09431128846525738,0.04138326644897461
MMDq,laplacian,2.0,std*2,500,0.034913219130310535,0.0417933464050293
MMDq,laplacian,2.0,unif_law,500,0.011160911664393092,0.04241633415222168
MMDq,laplacian,5.0,same,500,-0.00021406388902422968,0.04132533073425293
MMDq,laplacian,5.0,mu+1,500,0.04666472245333678,0.04154396057128906
MMDq,laplacian,5.0,std*2,500,0.016759495908199112,0.04164433479309082
MMDq,laplacian,5.0,unif_law,500,0.010019037514949952,0.04178667068481445
MMDl,gaussian,0.25,same,1000,0.008294796622618492,0.0007147789001464844
MMDl,gaussian,0.25,mu+1,1000,0.1352822082423121,0.0007688999176025391
MMDl,gaussian,0.25,std*2,1000,0.10133696667926238,0.00074005126953125
MMDl,gaussian,0.25,unif_law,1000,-0.006011819894229575,0.0007176399230957031
MMDl,gaussian,0.5,same,1000,-0.0011196182137335313,0.0007178783416748047
MMDl,gaussian,0.5,mu+1,1000,0.16171748979043593,0.0007369518280029297
MMDl,gaussian,0.5,std*2,1000,0.1161096860344901,0.0007395744323730469
MMDl,gaussian,0.5,unif_law,1000,-0.008544507967859431,0.0007333755493164062
MMDl,gaussian,1.0,same,1000,-0.0011191993439617818,0.0007295608520507812
MMDl,gaussian,1.0,mu+1,1000,0.1740340243039599,0.0007481575012207031
MMDl,gaussian,1.0,std*2,1000,0.11648719363813934,0.0007462501525878906
MMDl,gaussian,1.0,unif_law,1000,-0.0075468409822073,0.0007221698760986328
MMDl,gaussian,2.0,same,1000,0.0026844445013641687,0.0007293224334716797
MMDl,gaussian,2.0,mu+1,1000,0.16246419987346247,0.0007417201995849609
MMDl,gaussian,2.0,std*2,1000,0.10266039696752,0.0007424354553222656
MMDl,gaussian,2.0,unif_law,1000,-0.002511794849610169,0.000732421875
MMDl,gaussian,5.0,same,1000,0.0036208303035925836,0.0007638931274414062
MMDl,gaussian,5.0,mu+1,1000,0.11408149809601263,0.0007505416870117188
MMDl,gaussian,5.0,std*2,1000,0.06593013532013299,0.0007503032684326172
MMDl,gaussian,5.0,unif_law,1000,0.0019395252176823306,0.00074005126953125
MMDl,laplacian,0.25,same,1000,0.0021556974020502367,0.0006117820739746094
MMDl,laplacian,0.25,mu+1,1000,0.08585015539776635,0.0005941390991210938
MMDl,laplacian,0.25,std*2,1000,0.05147340627113806,0.0006935596466064453
MMDl,laplacian,0.25,unif_law,1000,-0.0011858694994363076,0.0006544589996337891
MMDl,laplacian,0.5,same,1000,0.0026755239577413476,0.0007560253143310547
MMDl,laplacian,0.5,mu+1,1000,0.1166963034530504,0.0005865097045898438
MMDl,laplacian,0.5,std*2,1000,0.07474382655532764,0.0005908012390136719
MMDl,laplacian,0.5,unif_law,1000,-0.0034833253901774696,0.0006153583526611328
MMDl,laplacian,1.0,same,1000,0.00278121348598188,0.0005984306335449219
MMDl,laplacian,1.0,mu+1,1000,0.1216231589097307,0.0006122589111328125
MMDl,laplacian,1.0,std*2,1000,0.082730178181937,0.0006079673767089844
MMDl,laplacian,1.0,unif_law,1000,-0.00688604974019222,0.0006196498870849609
MMDl,laplacian,2.0,same,1000,0.0033444943250733844,0.0005855560302734375
MMDl,laplacian,2.0,mu+1,1000,0.0913617214022421,0.0006031990051269531
MMDl,laplacian,2.0,std*2,1000,0.06495852776842816,0.0006105899810791016
