Kernel,Kernel_parameter,lambda,law_p,law_q,sigma_H0,sigma_H1,moyenne
gaussian,1.0,1,normal_0_1,normal_0_2,0.4039156563687615,0.46631910246637354,0.08982808481789076
gaussian,1.0,1,normal_0_1,unif_0_1,0.3765634407160122,0.37206803643873193,0.19288036810690806
gaussian,1.0,1,unif_-1_1,normal_1_1,0.2925019333321824,0.47386227644497675,0.28024591004580895
gaussian,1.0,1,unif_-1_1,normal_0_2,0.29471027964514435,0.5296865349611196,0.233329965592986
gaussian,1.0,1,unif_-1_1,unif_0_1,0.2987213178788287,0.3690158772208092,0.1646347369479768
gaussian,1.0,0.8,normal_0_1,normal_1_1,0.43933881360158633,0.5670850154743469,0.18207287891552512
gaussian,1.0,0.8,normal_0_1,normal_0_2,0.4184777025764045,0.4876338711949772,0.09578314878296797
gaussian,1.0,0.8,normal_0_1,unif_0_1,0.41217877150419635,0.45590099691981334,0.20378118638522885
gaussian,1.0,0.8,unif_-1_1,normal_1_1,0.29418986766312794,0.5813384896805428,0.2871673340800808
gaussian,1.0,0.8,unif_-1_1,normal_0_2,0.30994044709868424,0.5705496420671773,0.2177315893220424
gaussian,1.0,0.8,unif_-1_1,unif_0_1,0.2841603927699539,0.3466092038750628,0.15596199843296452
gaussian,1.0,0.5,normal_0_1,normal_1_1,0.467406381516339,0.6612292230268375,0.17642068124308208
gaussian,1.0,0.5,normal_0_1,normal_0_2,0.43477214346362075,0.574582652977145,0.09346625674726267
gaussian,1.0,0.5,normal_0_1,unif_0_1,0.43910372998794306,0.43715660413149676,0.19188109567296102
gaussian,1.0,0.5,unif_-1_1,normal_1_1,0.3300217139264882,0.655901674334255,0.28508990422418923
gaussian,1.0,0.5,unif_-1_1,normal_0_2,0.32858806204312163,0.6465399617606254,0.22415753288061893
gaussian,1.0,0.5,unif_-1_1,unif_0_1,0.31834775537608,0.3978079291281683,0.16681212940283896
gaussian,1.0,0.2,normal_0_1,normal_1_1,0.6371405254827084,0.9575391829507016,0.1773841575947281
gaussian,1.0,0.2,normal_0_1,normal_0_2,0.6516042208639764,0.8095973140172403,0.09325479511558916
gaussian,1.0,0.2,normal_0_1,unif_0_1,0.6699503475634614,0.43687955646105614,0.19509368844833874
gaussian,1.0,0.2,unif_-1_1,normal_1_1,0.4659251842374732,1.0554679039755839,0.28892147407026275
gaussian,1.0,0.2,unif_-1_1,normal_0_2,0.46311424416469826,1.00822844391419,0.23093222884942327
gaussian,1.0,0.2,unif_-1_1,unif_0_1,0.4969260701556429,0.3515725849360071,0.16247076317787804
gaussian,1.0,0.1,normal_0_1,normal_1_1,0.8795916954273892,1.2397921941228889,0.17762246285500743
gaussian,1.0,0.1,normal_0_1,normal_0_2,0.9171369772333665,1.0875549897718961,0.09188653373321927
gaussian,1.0,0.1,normal_0_1,unif_0_1,0.8887217551986729,0.5275551933973514,0.19340451464531527
gaussian,1.0,0.1,unif_-1_1,normal_1_1,0.6124690653780088,1.1768147661318886,0.27209655584637465
gaussian,1.0,0.1,unif_-1_1,normal_0_2,0.6841497627833153,1.5145542398968095,0.2259421894899906
gaussian,1.0,0.1,unif_-1_1,unif_0_1,0.6517055457004892,0.472266001548794,0.15905884355256147
gaussian,1.0,0.05,normal_0_1,normal_1_1,1.3435284007498505,1.9087075362857004,0.17466898412582685
gaussian,1.0,0.05,normal_0_1,normal_0_2,1.2074913901174629,1.8096652438690366,0.09236805539561063
gaussian,1.0,0.05,normal_0_1,unif_0_1,1.0494000662947092,0.6506115787862193,0.19398221473841828
gaussian,1.0,0.05,unif_-1_1,normal_1_1,1.0492964271790695,1.8885086202574113,0.2946279164251401
gaussian,1.0,0.05,unif_-1_1,normal_0_2,0.8572513056359787,2.1647834074706562,0.23093904664791362
gaussian,1.0,0.05,unif_-1_1,unif_0_1,0.9323364786168152,0.6653203716323894,0.1576323289267828
gaussian,1.0,0.01,normal_0_1,normal_1_1,2.479274105010356,3.5931640371308067,0.17182089548199322
gaussian,1.0,0.01,normal_0_1,normal_0_2,2.6795640199152038,3.271857093540236,0.08912130985852668
gaussian,1.0,0.01,normal_0_1,unif_0_1,2.7223236716755155,0.9344058681219672,0.20484715055083286
gaussian,1.0,0.01,unif_-1_1,normal_1_1,2.199087125396112,4.271446927088537,0.2823329683635159
gaussian,1.0,0.01,unif_-1_1,normal_0_2,2.0818423990168946,4.467374214446404,0.22283735689330955
gaussian,1.0,0.01,unif_-1_1,unif_0_1,2.2173667404804847,1.39137336054798,0.16276897540102625
gaussian,1.0,0.001,normal_0_1,normal_1_1,7.368007708350395,11.586137873328052,0.17872706240160505
gaussian,1.0,0.001,normal_0_1,normal_0_2,8.345210430407365,12.146377531502019,0.09135337627832228
gaussian,1.0,0.001,normal_0_1,unif_0_1,9.005396430565927,3.3060329500975896,0.19556082620257634
gaussian,1.0,0.001,unif_-1_1,normal_1_1,6.834576316584517,15.111034424704863,0.29092211222986
gaussian,1.0,0.001,unif_-1_1,normal_0_2,5.863422282704199,14.75545704351337,0.236874725629741
gaussian,1.0,0.001,unif_-1_1,unif_0_1,6.345849851550147,4.1138705000175335,0.1598182373208266
gaussian,2.0,1,normal_0_1,normal_1_1,0.3133944354605872,0.4414826021803681,0.16711603265194927
gaussian,2.0,1,normal_0_1,normal_0_2,0.2774456214018284,0.47806226022983994,0.07978935397847492
gaussian,2.0,1,normal_0_1,unif_0_1,0.2799618316212677,0.2598312135495511,0.12451994963048199
gaussian,2.0,1,unif_-1_1,normal_1_1,0.19280475418417475,0.4060446295823943,0.2393752173135264
gaussian,2.0,1,unif_-1_1,normal_0_2,0.18063209378239678,0.40994720517987215,0.18661083502962897
gaussian,2.0,1,unif_-1_1,unif_0_1,0.18977388044776086,0.20736147284377499,0.10223091376507175
gaussian,2.0,0.8,normal_0_1,normal_1_1,0.34887921630253493,0.45894065953266494,0.16614307800676464
gaussian,2.0,0.8,normal_0_1,normal_0_2,0.3221674579645775,0.4092859762929849,0.08429035778038127
gaussian,2.0,0.8,normal_0_1,unif_0_1,0.3058351803432084,0.32033926364828064,0.12752844464529195
gaussian,2.0,0.8,unif_-1_1,normal_1_1,0.19892706023598752,0.487896732156306,0.23269627847173158
gaussian,2.0,0.8,unif_-1_1,normal_0_2,0.18841406864266197,0.4436218244896126,0.18193979678587666
gaussian,2.0,0.8,unif_-1_1,unif_0_1,0.1968198414987531,0.22997772871709882,0.09802509853942366
gaussian,2.0,0.5,normal_0_1,normal_1_1,0.38735066888119907,0.5130977460311255,0.16279758526853416
gaussian,2.0,0.5,normal_0_1,normal_0_2,0.3465205114234443,0.6318758732808005,0.08789577221277996
gaussian,2.0,0.5,normal_0_1,unif_0_1,0.37402807604371086,0.3089646657325025,0.1277221029391577
gaussian,2.0,0.5,unif_-1_1,normal_1_1,0.22899144993254628,0.5545035711004956,0.23504896812005396
gaussian,2.0,0.5,unif_-1_1,normal_0_2,0.23927796277237112,0.5743898468696989,0.192739098911083
gaussian,2.0,0.5,unif_-1_1,unif_0_1,0.25040184658886633,0.2326113974614904,0.09706426190429375
gaussian,2.0,0.2,normal_0_1,normal_1_1,0.46438702778836777,0.7743470886181519,0.17243960927865654
gaussian,2.0,0.2,normal_0_1,normal_0_2,0.5014163916013862,0.7989747235344806,0.08979453144970387
gaussian,2.0,0.2,normal_0_1,unif_0_1,0.451171933586302,0.34845690301782606,0.11882688266780589
gaussian,2.0,0.2,unif_-1_1,normal_1_1,0.3056768757769246,0.8846006885491259,0.23244888606843533
gaussian,2.0,0.2,unif_-1_1,normal_0_2,0.30673965468531994,0.7494805642958369,0.19209092400128525
gaussian,2.0,0.2,unif_-1_1,unif_0_1,0.28624862790563704,0.2761286159465617,0.09834428072601595
gaussian,2.0,0.1,normal_0_1,normal_1_1,0.6875744001759798,1.0534392305733333,0.1668060130292204
gaussian,2.0,0.1,normal_0_1,normal_0_2,0.6636688739884519,1.3547730806381328,0.08678698827101071
gaussian,2.0,0.1,normal_0_1,unif_0_1,0.636127468226159,0.3491704070072988,0.11458882300529663
gaussian,2.0,0.1,unif_-1_1,normal_1_1,0.43714085717236106,1.0904896333896847,0.2300652864574806
gaussian,2.0,0.1,unif_-1_1,normal_0_2,0.42836513324195646,1.2914847028239675,0.18688936884914514
gaussian,2.0,0.1,unif_-1_1,unif_0_1,0.3766881055197264,0.3358175280055326,0.10126896489974017
gaussian,2.0,0.05,normal_0_1,normal_1_1,0.9718809628501742,1.4026257012641898,0.157550642291657
gaussian,2.0,0.05,normal_0_1,normal_0_2,1.1105214497585945,1.3416932691504155,0.08480262927489392
gaussian,2.0,0.05,normal_0_1,unif_0_1,0.9259546561234269,0.4118179331976728,0.12399462484881912
gaussian,2.0,0.05,unif_-1_1,normal_1_1,0.5457904125219603,1.702519882243534,0.2367691468131805
gaussian,2.0,0.05,unif_-1_1,normal_0_2,0.5793005572079417,1.8003169667916061,0.18812325962845847
gaussian,2.0,0.05,unif_-1_1,unif_0_1,0.6057431335692797,0.4248773823508006,0.1027502106906981
gaussian,2.0,0.01,normal_0_1,normal_1_1,2.442015094081703,2.77894303225267,0.16740160841705312
gaussian,2.0,0.01,normal_0_1,normal_0_2,1.9205611479111633,3.633028784480027,0.08343775865806882
gaussian,2.0,0.01,normal_0_1,unif_0_1,2.3669571411911616,0.754757409941335,0.11956156411925457
gaussian,2.0,0.01,unif_-1_1,normal_1_1,1.2785553294587462,3.733503134995796,0.22964724521445484
gaussian,2.0,0.01,unif_-1_1,normal_0_2,1.2965835483482295,4.306192581223234,0.1852177248095021
gaussian,2.0,0.01,unif_-1_1,unif_0_1,1.2168874512922192,0.7871928297708187,0.10132940595177271
gaussian,2.0,0.001,normal_0_1,normal_1_1,6.81454984362444,9.357334488517822,0.1634029912649756
gaussian,2.0,0.001,normal_0_1,normal_0_2,6.081228113823642,10.05131502754782,0.08540852993404996
gaussian,2.0,0.001,normal_0_1,unif_0_1,7.1271407983856765,2.0983371998193103,0.12130700932000625
gaussian,2.0,0.001,unif_-1_1,normal_1_1,3.8749924646008913,11.907024043045128,0.22792338954721408
gaussian,2.0,0.001,unif_-1_1,normal_0_2,3.559946765138342,11.580606381552936,0.1791281457499411
gaussian,2.0,0.001,unif_-1_1,unif_0_1,3.889511620756457,2.7941198327521883,0.10245257596569637
gaussian,5.0,1,normal_0_1,normal_1_1,0.17829311768541792,0.2706618079922103,0.1113898609037631
gaussian,5.0,1,normal_0_1,normal_0_2,0.15832891801583732,0.33221346048174,0.05023479735355494
gaussian,5.0,1,normal_0_1,unif_0_1,0.1810452761616828,0.20047803358757196,0.052275015026234765
gaussian,5.0,1,unif_-1_1,normal_1_1,0.0855455573998843,0.264476707352144,0.141402317480218
gaussian,5.0,1,unif_-1_1,normal_0_2,0.08296546983055181,0.29077789413048943,0.09679822131914466
gaussian,5.0,1,unif_-1_1,unif_0_1,0.07789962098294605,0.10807839285100083,0.04658549040145556
gaussian,5.0,0.8,normal_0_1,normal_1_1,0.20589405674046474,0.3059666564156779,0.1162491590348763
gaussian,5.0,0.8,normal_0_1,normal_0_2,0.18985273456105095,0.3301776699918874,0.04840633384472758
gaussian,5.0,0.8,normal_0_1,unif_0_1,0.18851741667448296,0.13808179026244213,0.05106053948754174
gaussian,5.0,0.8,unif_-1_1,normal_1_1,0.09234064747501376,0.24748061479819744,0.14333236623310955
gaussian,5.0,0.8,unif_-1_1,normal_0_2,0.08970234763639791,0.3389218815430636,0.0895844811194692
gaussian,5.0,0.8,unif_-1_1,unif_0_1,0.08114812533890994,0.1076855601474383,0.047921381830925154
gaussian,5.0,0.5,normal_0_1,normal_1_1,0.2033860500963029,0.36319433133464757,0.11484362878628025
gaussian,5.0,0.5,normal_0_1,normal_0_2,0.22007880585521153,0.3600267890190461,0.052610899881973705
gaussian,5.0,0.5,normal_0_1,unif_0_1,0.21104245247140938,0.15244146339744785,0.04882444746680227
gaussian,5.0,0.5,unif_-1_1,normal_1_1,0.10171922457822642,0.34617411332527537,0.13927663359988388
gaussian,5.0,0.5,unif_-1_1,normal_0_2,0.10324173585025691,0.41577415888277397,0.09626737150510654
gaussian,5.0,0.5,unif_-1_1,unif_0_1,0.09919307153706201,0.10253314324127889,0.0439104619738751
gaussian,5.0,0.2,normal_0_1,normal_1_1,0.3366055879753203,0.5261834924294118,0.1206500789657609
gaussian,5.0,0.2,normal_0_1,normal_0_2,0.321700807966602,0.5679975211284874,0.05374252583448205
gaussian,5.0,0.2,normal_0_1,unif_0_1,0.314135412264443,0.205085230889666,0.05520176723508898
gaussian,5.0,0.2,unif_-1_1,normal_1_1,0.1585548858565955,0.5507637728389032,0.14656048785254802
gaussian,5.0,0.2,unif_-1_1,normal_0_2,0.15120313261844837,0.6514391665738863,0.09540989299679227
gaussian,5.0,0.2,unif_-1_1,unif_0_1,0.15590703907511555,0.12587864925968684,0.04558544914441472
gaussian,5.0,0.1,normal_0_1,normal_1_1,0.37273776688736404,0.7614883840051235,0.12491059309078195
gaussian,5.0,0.1,normal_0_1,normal_0_2,0.4821835014034274,0.8443980598151034,0.04815244451436087
gaussian,5.0,0.1,normal_0_1,unif_0_1,0.46004883879712516,0.223928515024207,0.051691883275147135
gaussian,5.0,0.1,unif_-1_1,normal_1_1,0.20097871856710417,0.675719200372944,0.14185149666705815
gaussian,5.0,0.1,unif_-1_1,normal_0_2,0.22358223565864255,0.8382811219653099,0.09539681112634131
gaussian,5.0,0.1,unif_-1_1,unif_0_1,0.1927913548714059,0.17375238288709002,0.04402489130357024
gaussian,5.0,0.05,normal_0_1,normal_1_1,0.7587539035108619,0.8668162437826342,0.11822751791059807
gaussian,5.0,0.05,normal_0_1,normal_0_2,0.5315579961142631,1.270229461394598,0.05328789101255121
gaussian,5.0,0.05,normal_0_1,unif_0_1,0.6302840224600363,0.21095747037851947,0.05180408242969952
gaussian,5.0,0.05,unif_-1_1,normal_1_1,0.2856556893660645,1.0242924089749226,0.14277235072636976
gaussian,5.0,0.05,unif_-1_1,normal_0_2,0.2800476081114721,1.5514732226830683,0.0989447789586218
gaussian,5.0,0.05,unif_-1_1,unif_0_1,0.30336196258702436,0.20669858946006553,0.04508135778281953
gaussian,5.0,0.01,normal_0_1,normal_1_1,1.1666174215185956,2.004590488653629,0.12056226412711171
gaussian,5.0,0.01,normal_0_1,normal_0_2,1.0851245335167021,2.078630615549717,0.052916085755934504
gaussian,5.0,0.01,normal_0_1,unif_0_1,1.2207500696488172,0.39311859886991435,0.05137501361340587
gaussian,5.0,0.01,unif_-1_1,normal_1_1,0.6459629203561613,1.929345162891497,0.14388705701943164
gaussian,5.0,0.01,unif_-1_1,normal_0_2,0.622399396351823,2.997050414985564,0.09223140178048612
gaussian,5.0,0.01,unif_-1_1,unif_0_1,0.5452711565627247,0.3904493134538931,0.04565557581819894
gaussian,5.0,0.001,normal_0_1,normal_1_1,3.763216371817059,6.8118432600061025,0.12252196936155355
gaussian,5.0,0.001,normal_0_1,normal_0_2,3.9838937178799263,8.092408461116523,0.04919235599019829
gaussian,5.0,0.001,normal_0_1,unif_0_1,3.8416917407813873,1.1264009673094508,0.05405022276989612
gaussian,5.0,0.001,unif_-1_1,normal_1_1,1.834875476697775,8.150369056666332,0.14272264391335215
gaussian,5.0,0.001,unif_-1_1,normal_0_2,1.7477775584291453,10.140851769860252,0.09428328926460634
gaussian,5.0,0.001,unif_-1_1,unif_0_1,1.737436753964272,1.339961459230242,0.04539940465958376
laplacian,0.25,1,normal_0_1,normal_1_1,0.16029749434933788,0.2394613874204668,0.08990286050074653
laplacian,0.25,1,normal_0_1,normal_0_2,0.15834349125052496,0.20130988721569093,0.04041072498028872
laplacian,0.25,1,normal_0_1,unif_0_1,0.16299505932643774,0.18152001501319323,0.08227702484035482
laplacian,0.25,1,unif_-1_1,normal_1_1,0.12667593692804782,0.23091778326040713,0.12830448883565893
laplacian,0.25,1,unif_-1_1,normal_0_2,0.12266638812171633,0.23132571734003357,0.09108255649224728
laplacian,0.25,1,unif_-1_1,unif_0_1,0.11392876140310336,0.1648005175692749,0.06969705698234571
laplacian,0.25,0.8,normal_0_1,normal_1_1,0.16385579928191332,0.23216485375038284,0.08388090565675793
laplacian,0.25,0.8,normal_0_1,normal_0_2,0.16756782283139512,0.26076592697509476,0.04275565500498827
laplacian,0.25,0.8,normal_0_1,unif_0_1,0.16626035835005337,0.18186375964776053,0.08309499316563336
laplacian,0.25,0.8,unif_-1_1,normal_1_1,0.12495088047314383,0.2640070693421331,0.12205853032982947
laplacian,0.25,0.8,unif_-1_1,normal_0_2,0.13149237202934858,0.22493153517444847,0.08771338582438373
laplacian,0.25,0.8,unif_-1_1,unif_0_1,0.1286900551011427,0.1516771356960805,0.07181250097845296
laplacian,0.25,0.5,normal_0_1,normal_1_1,0.20219777116649607,0.29328336622900714,0.08386174349560659
laplacian,0.25,0.5,normal_0_1,normal_0_2,0.212439805341362,0.2676125391390029,0.03842304351652475
laplacian,0.25,0.5,normal_0_1,unif_0_1,0.1957825697532051,0.1924059499909977,0.08607443547823852
laplacian,0.25,0.5,unif_-1_1,normal_1_1,0.1416554904408431,0.3080465221962004,0.1271821164592361
laplacian,0.25,0.5,unif_-1_1,normal_0_2,0.1483254061831527,0.3173707711732975,0.0873138892116449
